Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Hypoxia and p53 in the cardiovascular system	1/23	0.054886232846338284	1.0	0	0	17.74622892635315	51.50830043904919	TAF1
Triacylglyceride biosynthesis	1/24	0.05720442221925741	1.0	0	0	17.006802721088434	48.658572654069516	AGPAT5
SREBP signaling	1/24	0.05720442221925741	1.0	0	0	17.006802721088434	48.658572654069516	SCAP
Metal ion solute carrier family (SLC) transporters	1/25	0.05951704140202087	1.0	0	0	16.3265306122449	46.065185262369035	SLC31A1
Alpha-9 beta-1 integrin pathway	1/25	0.05951704140202087	1.0	0	0	16.3265306122449	46.065185262369035	ADAM15
Interaction between L1-type proteins and ankyrins	1/26	0.06182410346022105	1.0	0	0	15.698587127158557	43.696420202979034	SCN9A
Phosphatidic acid biosynthesis	1/28	0.06642160851252993	1.0	0	0	14.577259475218659	39.529633324123054	AGPAT5
Skeletal myogenesis control by HDAC and calcium/calmodulin-dependent kinase (CaMK)	1/29	0.06871207754428547	1.0	0	0	14.074595355383533	37.68937781813083	CABIN1
T cell receptor calcium pathway	1/29	0.06871207754428547	1.0	0	0	14.074595355383533	37.68937781813083	CABIN1
Association of TriC/CCT with target proteins during biosynthesis	1/29	0.06871207754428547	1.0	0	0	14.074595355383533	37.68937781813083	AP3M1
CDC42 activity regulation	1/30	0.07099704156206502	1.0	0	0	13.60544217687075	35.98798735984887	ARHGDIA
Cysteine and methionine metabolism	1/34	0.080082106093531	1.0	0	0	12.004801920768308	30.30855755644345	AMD1
Fatty acid beta oxidation	1/34	0.080082106093531	1.0	0	0	12.004801920768308	30.30855755644345	CPT2
MEF2D role in T cell apoptosis	1/35	0.08233973871315534	1.0	0	0	11.661807580174926	29.11838409227869	CABIN1
Basal transcription factors	1/35	0.08233973871315534	1.0	0	0	11.661807580174926	29.11838409227869	TAF1
Cyclin D-associated events in G1	1/38	0.08908012117667435	1.0	0	0	10.741138560687432	25.974426168431595	CKS1B
RAC1 activity regulation	1/38	0.08908012117667435	1.0	0	0	10.741138560687432	25.974426168431595	ARHGDIA
Triglyceride biosynthesis	1/38	0.08908012117667435	1.0	0	0	10.741138560687432	25.974426168431595	AGPAT5
HIV-1 transcription initiation	1/39	0.09131611933080343	1.0	0	0	10.465724751439037	25.04895817379359	TAF1
FOXM1 transcription factor network	1/41	0.09577199782508729	1.0	0	0	9.955201592832255	23.352761921448884	CKS1B
Fatty acid metabolism	1/42	0.09799190344985674	1.0	0	0	9.718172983479105	22.574056575152703	CPT2
Porphyrin and chlorophyll metabolism	1/43	0.10020647014004594	1.0	0	0	9.492168960607499	21.83694845904246	COX15
Lysine degradation	1/44	0.10241571046432069	1.0	0	0	9.27643784786642	21.138359514300806	SETD8
Vasopressin-regulated water reabsorption	1/44	0.10241571046432069	1.0	0	0	9.27643784786642	21.138359514300806	ARHGDIA
RhoA activity regulation	1/46	0.10681826213767642	1.0	0	0	8.873114463176575	19.845841821431655	ARHGDIA
ABC transporters	1/47	0.10901159849285975	1.0	0	0	8.684324793747287	19.247077674533823	ABCA7
Lipid and lipoprotein metabolism	3/489	0.11769334413382816	1.0	0	0	2.5040691123074996	5.357888608313781	AGPAT5;MED13;CPT2
Type I interferon (interferon-alpha/beta) pathway	1/51	0.117732304342972	1.0	0	0	8.003201280512204	17.12158334507697	PTPRD
Heparan sulfate/heparin glycosaminoglycan (HS-GAG) metabolism	1/52	0.11989938284584431	1.0	0	0	7.849293563579279	16.649155135028103	SGSH
Protein folding	1/53	0.12206124682690901	1.0	0	0	7.701193685021178	16.197399592213856	AP3M1
Arginine and proline metabolism	1/54	0.12421790857292911	1.0	0	0	7.558578987150415	15.765063707247872	AMD1
Calcineurin-dependent NFAT signaling role in lymphocytes	1/55	0.12636938033824105	1.0	0	0	7.421150278293135	15.350991248791994	CABIN1
RAGE pathway	1/60	0.13704931664792863	1.0	0	0	6.802721088435375	13.519826138757372	SCAP
HIV genome transcription	1/61	0.13916990440240695	1.0	0	0	6.691201070592172	13.195448367099166	TAF1
Ubiquitin-mediated degradation of phosphorylated Cdc25A	1/64	0.145501086009976	1.0	0	0	6.377551020408164	12.293187043446148	CKS1B
Retinoblastoma protein regulation	1/66	0.1496965090156283	1.0	0	0	6.184291898577613	11.744868940614404	TAF1
PPAR signaling pathway	1/69	0.1559518351617717	1.0	0	0	5.915409642117717	10.992061924687228	CPT2
CDC42 signaling events	1/70	0.1580269091413692	1.0	0	0	5.830903790087463	10.75795888883453	ARHGDIA
Rac1 cell motility signaling pathway	1/71	0.16009698547444592	1.0	0	0	5.748778384593274	10.53162108751546	ARHGDIA
Cyclin A-Cdk2-associated events at S phase entry	1/72	0.1621620759393262	1.0	0	0	5.668934240362812	10.312692602742626	CKS1B
Cap-dependent translation initiation	1/73	0.16422219226923945	1.0	0	0	5.591277606933184	10.10083834052681	RPL7
Chronic myeloid leukemia	1/73	0.16422219226923945	1.0	0	0	5.591277606933184	10.10083834052681	CTBP2
Transcriptional regulation of white adipocyte differentiation	1/77	0.17241315077194583	1.0	0	0	5.30082162735224	9.318111015542156	MED13
Small cell lung cancer	1/84	0.18655851672692078	1.0	0	0	4.859086491739553	8.158456396990406	CKS1B
Pathways in cancer	2/325	0.18915017683326385	1.0	0	0	2.511773940345369	4.18264111276552	CTBP2;CKS1B
Glycerophospholipid biosynthesis	1/86	0.19055636178365606	1.0	0	0	4.746084480303749	7.868093335513186	AGPAT5
Neural crest differentiation	1/91	0.20046695733149195	1.0	0	0	4.485310607759588	7.208368904040989	CTBP2
Metabolism	6/1615	0.20090820345388208	1.0	0	0	1.5163960320970493	2.4336748712600045	AGPAT5;MED13;CPT2;COX15;AMD1;SGSH
L1CAM interactions	1/94	0.20635615488224898	1.0	0	0	4.342162396873643	6.852590950224973	SCN9A
Transport of glucose and other sugars, bile salts and organic acids, metal ions and amine compounds	1/96	0.21025865699508983	1.0	0	0	4.2517006802721085	6.630173495783064	SLC31A1
Wnt signaling pathway and pluripotency	1/98	0.21414235950352403	1.0	0	0	4.164931278633903	6.418634959615514	CTBP2
RNA polymerase II transcription	1/101	0.21993285781620825	1.0	0	0	4.04122044857547	6.120157490219283	TAF1
Electron transport chain	1/105	0.22758854778675142	1.0	0	0	3.887269193391643	5.753997649280182	COX15
Cytoplasmic ribosomal proteins	1/108	0.2332819671059828	1.0	0	0	3.7792894935752077	5.500783816386177	RPL7
Glycosaminoglycan metabolism	1/110	0.2370547198597219	1.0	0	0	3.7105751391465676	5.3412403673948	SGSH
S phase	1/112	0.24080928525036113	1.0	0	0	3.6443148688046647	5.188593317350888	CKS1B
HIV life cycle	1/118	0.2519647137871081	1.0	0	0	3.4590107229332414	4.768129456691159	TAF1
p53 activity regulation	1/118	0.2519647137871081	1.0	0	0	3.4590107229332414	4.768129456691159	SETD8
Notch signaling pathway	1/121	0.257482053509444	1.0	0	0	3.37325012649688	4.576843502837304	CTBP2
Rho GTPase cycle	1/123	0.26113811243614116	1.0	0	0	3.3184005309440856	4.455635789602209	ARHGDIA
p75 neurotrophin receptor-mediated signaling	1/124	0.26295952305137155	1.0	0	0	3.291639236339697	4.39682410597946	ARHGDIA
Influenza viral RNA transcription and replication	1/125	0.26477653500882337	1.0	0	0	3.2653061224489797	4.339164319545324	RPL7
Neurotrophin signaling pathway	1/126	0.2665891587198105	1.0	0	0	3.2393909944930352	4.282625646359972	ARHGDIA
Spliceosome	1/127	0.26839740452779276	1.0	0	0	3.213883978788366	4.2271783515862875	THOC3
PDGFB signaling pathway	1/129	0.27200080396294063	1.0	0	0	3.1640563202024996	4.1194439390742055	ARHGDIA
Developmental biology	2/420	0.2750113012279262	1.0	0	0	1.9436345966958215	2.5091216458419447	MED13;SCN9A
TNF-alpha effects on cytokine activity, cell motility, and apoptosis	1/135	0.28270700502051027	1.0	0	0	3.0234315948601664	3.819634877095857	ABCA7
Mitotic G1-G1/S phases	1/135	0.28270700502051027	1.0	0	0	3.0234315948601664	3.819634877095857	CKS1B
Ubiquitin-mediated proteolysis	1/136	0.28447631303043347	1.0	0	0	3.001200480192077	3.7728249913653014	UBE2NL
Oxidative phosphorylation	1/136	0.28447631303043347	1.0	0	0	3.001200480192077	3.7728249913653014	COX15
Transmembrane transport of small molecules	2/432	0.2859509985799256	1.0	0	0	1.8896447467876039	2.3657120492785193	SLC31A1;ABCA7
Influenza infection	1/142	0.29500273063188476	1.0	0	0	2.874389192296637	3.5089700095024057	RPL7
Protein metabolism	2/442	0.295059058662749	1.0	0	0	1.8468926031951245	2.2542797004758666	AP3M1;RPL7
Translation	1/151	0.31050850642228905	1.0	0	0	2.703067982159751	3.1613568917390866	RPL7
EGFR1 pathway	1/152	0.3122106087631069	1.0	0	0	2.685284640171858	3.1258788689977335	AMD1
Transcription	1/181	0.35981993847876154	1.0	0	0	2.2550456646747095	2.304998406926364	TAF1
Amino acid metabolism	1/195	0.38163305148588844	1.0	0	0	2.0931449502878077	2.0163175934069586	AMD1
Jak-STAT signaling pathway	1/199	0.3877304897677703	1.0	0	0	2.051071684955389	1.9432771914994016	PTPRD
HIV infection	1/200	0.3892456229672477	1.0	0	0	2.0408163265306123	1.9256014553402925	TAF1
Phospholipid metabolism	1/205	0.3967663670987994	1.0	0	0	1.9910403185664511	1.840532936783408	AGPAT5
Signaling by NGF	1/221	0.4202282253075736	1.0	0	0	1.8468926031951245	1.6011770647337644	ARHGDIA
Gene expression	3/968	0.4253608961359217	1.0	0	0	1.26496879743633	1.0813172158260946	MED13;RPL7;TAF1
Wnt signaling pathway	1/231	0.4344354459053535	1.0	0	0	1.7669405424507465	1.4731123178784038	CTBP2
Carbohydrate metabolism	1/235	0.44002234091415104	1.0	0	0	1.7368649587494573	1.425844165964287	SGSH
SLC-mediated transmembrane transport	1/251	0.46183427750325745	1.0	0	0	1.6261484673550695	1.2562796307894017	SLC31A1
Interleukin-4 regulation of apoptosis	1/267	0.48281328013267927	1.0	0	0	1.5287013681877246	1.1130861173255246	CPT2
Disease	2/674	0.49525889852475913	1.0	0	0	1.2111669593653487	0.8510562899797944	RPL7;TAF1
Oncostatin M	1/311	0.5364611326204128	1.0	0	0	1.3124220749393005	0.8173255013100904	CKS1B
Axon guidance	1/325	0.5523581028823527	1.0	0	0	1.2558869701726845	0.7454426448204481	SCN9A
Generic transcription pathway	1/377	0.606862501496103	1.0	0	0	1.0826611811833486	0.5407384128248963	MED13
Interleukin-2 signaling pathway	2/847	0.6203469895997396	1.0	0	0	0.9637857504276799	0.46018485107088103	ARHGDIA;TAF1
Cell cycle	1/453	0.6750143721437236	1.0	0	0	0.9010226607199171	0.3541210940861416	CKS1B
Signal transduction	1/1020	0.9233206555520647	1.0	0	0	0.4001600640256103	0.03192424930458323	ARHGDIA
