,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,Direction,Dataset
100,Interleukin-4 regulation of apoptosis,1/267,0.4828132801326793,1.0,0,0,1.5287013681877246,1.1130861173255246,CPT2,up,BioPlanet
101,Disease,2/674,0.4952588985247591,1.0,0,0,1.211166959365349,0.8510562899797944,RPL7;TAF1,up,BioPlanet
102,Oncostatin M,1/311,0.5364611326204128,1.0,0,0,1.3124220749393003,0.8173255013100904,CKS1B,up,BioPlanet
103,Axon guidance,1/325,0.5523581028823527,1.0,0,0,1.2558869701726845,0.7454426448204481,SCN9A,up,BioPlanet
104,Generic transcription pathway,1/377,0.606862501496103,1.0,0,0,1.0826611811833486,0.5407384128248963,MED13,up,BioPlanet
105,Interleukin-2 signaling pathway,2/847,0.6203469895997396,1.0,0,0,0.96378575042768,0.460184851070881,ARHGDIA;TAF1,up,BioPlanet
106,Cell cycle,1/453,0.6750143721437236,1.0,0,0,0.9010226607199172,0.3541210940861416,CKS1B,up,BioPlanet
107,Signal transduction,1/1020,0.9233206555520648,1.0,0,0,0.4001600640256103,0.03192424930458323,ARHGDIA,up,BioPlanet
0,Disease,3/674,0.0051342304007430005,1.0,0,0,8.09279741030483,42.663814298139464,IGFBP2;EPN1;HIST2H2BE,down,BioPlanet
1,Ghrelin-mediated regulation of food intake and energy homeostasis,1/13,0.007128500182420091,1.0,0,0,139.86013986013987,691.4201985706308,IGFBP2,down,BioPlanet
2,Insulin-like growth factor (IGF) activity regulation by insulin-like growth factor binding proteins (IGFBPs),1/17,0.009312583434128836,1.0,0,0,106.951871657754,500.1485279087759,IGFBP2,down,BioPlanet
3,"Endocytotic role of NDK, phosphins and dynamin",1/17,0.009312583434128836,1.0,0,0,106.951871657754,500.1485279087759,EPN1,down,BioPlanet
4,EGFR downregulation,1/27,0.014753702756032041,1.0,0,0,67.34006734006735,283.92331268638986,EPN1,down,BioPlanet
5,RNA polymerase I promoter opening,1/31,0.016922534733463997,1.0,0,0,58.65102639296187,239.24393718954147,HIST2H2BE,down,BioPlanet
6,Packaging of telomere ends,1/32,0.017464064240814415,1.0,0,0,56.81818181818181,229.97783984491127,HIST2H2BE,down,BioPlanet
7,Integrated cancer pathway,1/35,0.01908702632439229,1.0,0,0,51.94805194805194,205.64916492239948,NOXA1,down,BioPlanet
8,ERBB1 internalization pathway,1/41,0.022325642342211446,1.0,0,0,44.345898004434595,168.603963649933,EPN1,down,BioPlanet
9,Deposition of new CENP-A-containing nucleosomes at the centromere,1/45,0.02447931669919003,1.0,0,0,40.4040404040404,149.89602967039846,HIST2H2BE,down,BioPlanet
10,Amyloids,1/51,0.027701743059261864,1.0,0,0,35.650623885918,127.85240432946449,HIST2H2BE,down,BioPlanet
11,Meiotic recombination,1/54,0.029309324971107782,1.0,0,0,33.670033670033675,118.85015337350148,HIST2H2BE,down,BioPlanet
12,Meiotic synapsis,1/55,0.029844648447595826,1.0,0,0,33.057851239669425,116.09090038690742,HIST2H2BE,down,BioPlanet
13,RNA polymerase I transcription,1/55,0.029844648447595826,1.0,0,0,33.057851239669425,116.09090038690742,HIST2H2BE,down,BioPlanet
14,Telomere maintenance,1/59,0.031983259760384464,1.0,0,0,30.816640986132512,106.08760078742485,HIST2H2BE,down,BioPlanet
15,Rac1 cell motility signaling pathway,1/71,0.03837340635379309,1.0,0,0,25.60819462227913,83.49271708519889,NOXA1,down,BioPlanet
16,Meiosis,1/83,0.044725183473176736,1.0,0,0,21.90580503833516,68.0661237096331,HIST2H2BE,down,BioPlanet
17,"RNA polymerase I, RNA polymerase III, and mitochondrial transcription",1/95,0.051038798139041684,1.0,0,0,19.13875598086124,56.94103708431418,HIST2H2BE,down,BioPlanet
18,Mitochondrial pathway of apoptosis: BH3-only Bcl-2 family,1/97,0.052087371500602615,1.0,0,0,18.74414245548266,55.385805983649085,NOXA1,down,BioPlanet
19,Chromosome maintenance,1/103,0.05522677507896637,1.0,0,0,17.652250661959396,51.12634399862731,HIST2H2BE,down,BioPlanet
20,Signaling by EGFR in cancer,1/111,0.05939794346176081,1.0,0,0,16.380016380016382,46.24890540653181,EPN1,down,BioPlanet
21,Prolactin regulation of apoptosis,1/118,0.06303397522541687,1.0,0,0,15.408320493066256,42.58985221359758,MATN2,down,BioPlanet
22,Interleukin-1 regulation of extracellular matrix,1/120,0.06407049195104964,1.0,0,0,15.15151515151515,41.63289947005629,MATN2,down,BioPlanet
23,Integration of energy metabolism,1/125,0.06665722494334128,1.0,0,0,14.545454545454545,39.391881265192424,SYT5,down,BioPlanet
24,Spliceosome,1/127,0.0676900970783306,1.0,0,0,14.316392269148176,38.551401378698,PRPF19,down,BioPlanet
25,"TNF-alpha effects on cytokine activity, cell motility, and apoptosis",1/135,0.07181120313483334,1.0,0,0,13.468013468013467,35.4709061627097,IGFBP2,down,BioPlanet
26,Ubiquitin-mediated proteolysis,1/136,0.07232517529799498,1.0,0,0,13.36898395721925,35.11474604771465,PRPF19,down,BioPlanet
27,Diabetes pathways,1/137,0.07283888870776588,1.0,0,0,13.271400132714,34.76450273204473,IGFBP2,down,BioPlanet
28,Systemic lupus erythematosus,1/139,0.07386553979752421,1.0,0,0,13.080444735120993,34.0812147592173,HIST2H2BE,down,BioPlanet
29,EGF/EGFR signaling pathway,1/141,0.0748911573283546,1.0,0,0,12.894906511927788,33.41998007904706,EPN1,down,BioPlanet
30,Integrated breast cancer pathway,1/152,0.08051362066732018,1.0,0,0,11.961722488038275,30.135513253997498,NOXA1,down,BioPlanet
31,Myometrial relaxation and contraction pathways,1/155,0.08204161892727208,1.0,0,0,11.730205278592374,29.33171393059459,IGFBP2,down,BioPlanet
32,Transcription,1/181,0.09518789678290693,1.0,0,0,10.04520341536916,23.625338823711104,HIST2H2BE,down,BioPlanet
33,Endocytosis,1/201,0.10518369495092053,1.0,0,0,9.045680687471732,20.37129788920578,EPN1,down,BioPlanet
34,BDNF signaling pathway,1/261,0.1345717890784102,1.0,0,0,6.966213862765587,13.971838903086455,PRPF19,down,BioPlanet
35,Interleukin-4 regulation of apoptosis,1/267,0.1374617975671696,1.0,0,0,6.8096697310180465,13.513171510753686,HIST2H2BE,down,BioPlanet
36,Oncostatin M,1/311,0.15838857498040515,1.0,0,0,5.846243788365975,10.772896403695366,IGFBP2,down,BioPlanet
37,Cell cycle,1/453,0.22281600681861152,1.0,0,0,4.013646397752358,6.0261245419226075,HIST2H2BE,down,BioPlanet
38,Gene expression,1/968,0.4206534295830525,1.0,0,0,1.8782870022539444,1.6264951013569515,HIST2H2BE,down,BioPlanet
39,Signal transduction,1/1020,0.4378339765177089,1.0,0,0,1.7825311942959,1.4722201239024355,EPN1,down,BioPlanet
0,MAX ENCODE,13/2073,0.001124700635438692,0.11696886608562394,0,0,2.5596345629423984,17.38052884952346,AGPAT5;AMD1;SDR39U1;GPATCH4;CABIN1;RPL7;CKS1B;GGA1;AP3M1;ADAM15;SCFD2;ARHGDIA;SCAP,up,Encode/ChEA TFs
1,NRF1 ENCODE,12/1882,0.0015828857844187153,0.08231006078977321,0,0,2.6025287904747447,16.782421614954096,AGPAT5;COX15;ARHGDIA;RBM12B;ZC3H8;SDR39U1;SCAP;TCTA;CCDC93;RPL7;CKS1B;OTUD3,up,Encode/ChEA TFs
2,SPI1 ENCODE,10/1540,0.0036514547487217454,0.1265837646223538,0,0,2.65041081367612,14.875774263181984,PURB;GGA1;TPPP3;SCFD2;ZDHHC6;ZC3H8;UBAP1;GPATCH4;ABCA7;RPL7,up,Encode/ChEA TFs
3,ERG CHEA,3/144,0.005286650609673479,0.13745291585151045,0,0,8.503401360544219,44.57968017610904,PURB;SETD8;CCDC93,up,Encode/ChEA TFs
4,UBTF ENCODE,10/1631,0.005487583049570186,0.11414172743105985,0,0,2.5025338154881815,13.026357603016407,AGPAT5;PURB;MED13;ADAM15;AMD1;SCAP;TCTA;AFF1;RPL7;OTUD3,up,Encode/ChEA TFs
5,GABPA ENCODE,11/2082,0.010610462330359541,0.18391468039289868,0,0,2.1564821894175537,9.803184198036913,PURB;GGA1;SETD8;CPT2;COX15;AMD1;ZDHHC6;SDR39U1;GPATCH4;CKS1B;DIS3L2,up,Encode/ChEA TFs
6,MYC CHEA,5/573,0.012815720016023876,0.19040498309521187,0,0,3.561634077714856,15.518334349591678,SETD8;ZC3H8;GPATCH4;RPL7;CKS1B,up,Encode/ChEA TFs
7,ELF1 ENCODE,12/2483,0.014732875540272843,0.19152738202354694,0,0,1.972597335349766,8.319772199810668,PURB;GGA1;KBTBD6;CPT2;COX15;SCFD2;ARHGDIA;ZDHHC6;GPATCH4;CKS1B;DIS3L2;TAF1,up,Encode/ChEA TFs
8,NFYA ENCODE,11/2250,0.01827758042420892,0.2112075960130808,0,0,1.9954648526077097,7.986010144206818,AGPAT5;MED13;SETD8;SCFD2;AMD1;ABCA7;TCTA;CCDC66;CABIN1;CKS1B;TAF1,up,Encode/ChEA TFs
9,CHD1 ENCODE,5/655,0.021603330103300244,0.2246746330743225,0,0,3.1157501168406294,11.948614440648475,MED13;SDR39U1;TCTA;AFF1;CKS1B,up,Encode/ChEA TFs
10,NFYB ENCODE,15/3715,0.02872740014633288,0.27160451047442,0,0,1.6480347185980717,5.850364879385536,AGPAT5;SETD8;SLC31A1;AMD1;SDR39U1;ABCA7;CABIN1;CKS1B;AP3M1;MED13;SCFD2;UBAP1;TCTA;CCDC66;TAF1,up,Encode/ChEA TFs
11,USF2 ENCODE,6/965,0.02966539122832108,0.25710005731211605,0,0,2.537802685841176,8.927416790473305,MED13;ARHGDIA;SCAP;TCTA;SGSH;OTUD3,up,Encode/ChEA TFs
12,MYC ENCODE,8/1515,0.02968363556553245,0.2374690845242596,0,0,2.155317572573584,7.5805954088165475,AGPAT5;PURB;AP3M1;SCFD2;ARHGDIA;SCAP;GPATCH4;RPL7,up,Encode/ChEA TFs
13,STAT3 ENCODE,5/725,0.0316681882015831,0.23524939806890305,0,0,2.8149190710767065,9.718346597418584,UBAP1;AFF1;CABIN1;CKS1B;TAF1,up,Encode/ChEA TFs
14,PPARD CHEA,3/285,0.03260220262576699,0.2260419382053178,0,0,4.296455424274973,14.708379925603971,SLC31A1;SCN9A;MTUS1,up,Encode/ChEA TFs
15,CEBPD ENCODE,5/734,0.03314530453805993,0.21544447949738954,0,0,2.7804037146193634,9.472430115321936,GGA1;AMD1;SCN9A;UBAP1;AFF1,up,Encode/ChEA TFs
16,SP2 ENCODE,6/994,0.03361169756909447,0.20562450277563676,0,0,2.4637621648256887,8.359252159478467,GGA1;SETD8;AMD1;GPATCH4;ABCA7;CKS1B,up,Encode/ChEA TFs
17,E2F6 ENCODE,13/3245,0.04499523990360688,0.25997249722083976,0,0,1.635168705386623,5.070982858582788,AGPAT5;ZC3H8;MLF1;CKS1B;GGA1;ADAM15;ARHGDIA;RBM12B;SCAP;CCDC66;MEST;DIS3L2;OTUD3,up,Encode/ChEA TFs
18,BHLHE40 ENCODE,3/348,0.05349384897448202,0.2928084364919016,0,0,3.518648838845883,10.303267431842373,AGPAT5;ARHGDIA;SCAP,up,Encode/ChEA TFs
19,NR2C2 ENCODE,3/350,0.05424214265482268,0.2820591418050779,0,0,3.4985422740524785,10.195791718625411,SDR39U1;SCAP;DIS3L2,up,Encode/ChEA TFs
20,USF1 ENCODE,7/1423,0.056954387140544474,0.28205982202936314,0,0,2.0078305391025,5.753447559689776,MED13;SCFD2;ARHGDIA;SDR39U1;SGSH;TAF1;OTUD3,up,Encode/ChEA TFs
21,MYOD1 ENCODE,2/166,0.062483688640958025,0.29537743721180154,0,0,4.917629702483403,13.635848232338901,PURB;TPPP3,up,Encode/ChEA TFs
22,IRF3 ENCODE,4/663,0.07867477050303724,0.35574678836155976,0,0,2.4625234709268327,6.260800327666296,AGPAT5;SETD8;ABCA7;CKS1B,up,Encode/ChEA TFs
23,ATF2 ENCODE,11/2852,0.0809688902046764,0.3508651908869311,0,0,1.5742622434668117,3.9572076832504175,PURB;GGA1;AP3M1;MED13;KBTBD6;SLC31A1;ZDHHC6;UBAP1;ABCA7;RPL7;CKS1B,up,Encode/ChEA TFs
24,CREB1 ENCODE,9/2238,0.09125703550711478,0.3796292677095975,0,0,1.6414072331345408,3.9296523303231385,ZNF672;PURB;GGA1;KBTBD6;SCFD2;SLC31A1;AMD1;UBAP1;MLF1,up,Encode/ChEA TFs
25,ZNF384 ENCODE,4/730,0.10299047816594016,0.41196191266376064,0,0,2.236511042773274,5.083855163582165,AP3M1;SETD8;CCDC93;CABIN1,up,Encode/ChEA TFs
26,SPI1 CHEA,5/1056,0.11505810689506164,0.4431867821143115,0,0,1.932591218305504,4.178876779684873,PURB;GGA1;ZC3H8;UBAP1;CKS1B,up,Encode/ChEA TFs
27,IRF1 ENCODE,2/263,0.1357495194825122,0.5042125009350453,0,0,3.1039031582214642,6.1983203535284375,SLC31A1;CKS1B,up,Encode/ChEA TFs
28,CTCF ENCODE,7/1790,0.14475677912639165,0.5191277596256804,0,0,1.5961691939345573,3.0849167283044405,GGA1;AP3M1;MED13;COX15;ARHGDIA;SCAP;OTUD3,up,Encode/ChEA TFs
29,BRCA1 ENCODE,11/3218,0.15393375606311574,0.5336370210188013,0,0,1.395213150518131,2.6107687840093736,PURB;GGA1;KBTBD6;COX15;AMD1;RBM12B;ABCA7;TCTA;CCDC93;MEST;CKS1B,up,Encode/ChEA TFs
30,TCF7L2 ENCODE,3/583,0.17110580529814784,0.574032379064754,0,0,2.100325550460321,3.7080684063204616,AP3M1;SCFD2;CKS1B,up,Encode/ChEA TFs
